borough,address,zonedist1,zonedist2,bldgclass,landuse,numfloors,unitsres,unitstotal,assesstot,yearbuilt,builtfar,residfar,commfar,BBL,latitude,longitude
QN,1831 GEORGE STREET,C4-3A,,C2,2.0,3.0,6,6,448200.0,1931.0,1.93,3.0,3.0,4035740042,40.7000745,-73.9009523
QN,1829 GEORGE STREET,C4-3A,R6B,C2,2.0,3.0,6,6,471600.0,1931.0,1.94,3.0,3.0,4035740043,40.7000251,-73.9010173
QN,57-50 MYRTLE AVENUE,C4-3A,,S2,4.0,3.0,2,3,69960.0,1931.0,2.2,3.0,3.0,4035730024,40.7002893,-73.901767
QN,18-24 CENTRE STREET,C4-3A,,C2,2.0,3.0,6,6,464400.0,1931.0,1.93,3.0,3.0,4035740023,40.7001462,-73.9013633
QN,58-04 MYRTLE AVENUE,C4-3A,,C7,4.0,3.0,8,10,686700.0,1927.0,3.7,3.0,3.0,4035740025,40.7002807,-73.9013379
QN,58-06 MYRTLE AVENUE,C4-3A,,K4,4.0,3.0,4,5,392400.0,1931.0,2.45,3.0,3.0,4035740026,40.7002559,-73.9012117
QN,58-08 MYRTLE AVENUE,C4-3A,,K4,4.0,3.0,0,1,413100.0,1931.0,2.36,3.0,3.0,4035740028,40.7002777,-73.9011215
QN,58-10 MYRTLE AVENUE,C4-3A,,S2,4.0,3.0,2,3,82320.0,1931.0,2.12,3.0,3.0,4035740029,40.7002831,-73.9010313
QN,58-16 MYRTLE AVENUE,C4-3A,,S2,4.0,3.0,2,3,69900.0,1931.0,2.14,3.0,3.0,4035740032,40.700305,-73.9008546
QN,58-22 MYRTLE AVENUE,C4-3A,,S2,4.0,3.0,2,3,69900.0,1931.0,2.09,3.0,3.0,4035740035,40.7002993,-73.9006346
QN,58-24 MYRTLE AVENUE,C4-3A,,S2,4.0,3.0,2,3,69300.0,1931.0,1.32,3.0,3.0,4035740036,40.7003459,-73.9005371
QN,58-12 MYRTLE AVENUE,C4-3A,,S9,4.0,3.0,4,6,511200.0,1931.0,2.09,3.0,3.0,4035740031,40.7002913,-73.9009375
QN,969 SENECA AVENUE,C4-3A,,S4,4.0,3.0,4,5,700200.0,1931.0,2.58,3.0,3.0,4035730001,40.6998285,-73.9021536
QN,967 SENECA AVENUE,C4-3A,,C2,2.0,3.0,6,6,437850.0,1931.0,2.1,3.0,3.0,4035730002,40.6998697,-73.9022257
QN,965 SENECA AVENUE,C4-3A,,C2,2.0,3.0,6,6,437850.0,1931.0,2.1,3.0,3.0,4035730004,40.6999164,-73.9023013
QN,963 SENECA AVENUE,C4-3A,,C2,2.0,3.0,6,6,437850.0,1931.0,2.1,3.0,3.0,4035730005,40.6999604,-73.902377
QN,955 SENECA AVENUE,C4-3A,,S5,4.0,3.0,5,6,700200.0,1931.0,2.58,3.0,3.0,4035730011,40.7001281,-73.9026797
QN,18-10 WEIRFIELD STREET,C4-3A,,S9,4.0,3.0,2,4,412650.0,1931.0,1.23,3.0,3.0,4035730013,40.7002844,-73.90251
QN,57-32 MYRTLE AVENUE,C4-3A,,K7,5.0,3.0,0,1,472950.0,1931.0,2.15,3.0,3.0,4035730015,40.7002898,-73.9024234
QN,57-34 MYRTLE AVENUE,C4-3A,,S2,4.0,3.0,2,3,78780.0,1931.0,2.16,3.0,3.0,4035730016,40.7002705,-73.9023477
QN,57-36 MYRTLE AVENUE,C4-3A,,K4,4.0,3.0,0,1,433800.0,1931.0,2.57,3.0,3.0,4035730017,40.7002732,-73.9022755
QN,57-38 MYRTLE AVENUE,C4-3A,,K4,4.0,3.0,0,1,427500.0,1931.0,2.29,3.0,3.0,4035730018,40.7002787,-73.9021998
QN,57-40 MYRTLE AVENUE,C4-3A,,K4,4.0,3.0,0,1,176400.0,1931.0,2.37,3.0,3.0,4035730019,40.7002813,-73.9021277
QN,57-42 MYRTLE AVENUE,C4-3A,,S2,4.0,3.0,2,3,67380.0,1931.0,2.58,3.0,3.0,4035730020,40.7002923,-73.9020591
QN,18-15 CENTRE STREET,C4-3A,,C2,2.0,3.0,6,6,515700.0,1931.0,1.09,3.0,3.0,4035730029,40.7001056,-73.9020053
QN,18-11 CENTRE STREET,C4-3A,,C2,2.0,3.0,6,6,559350.0,1931.0,1.94,3.0,3.0,4035730032,40.7000535,-73.9021352
QN,961 SENECA AVENUE,C4-3A,,C2,2.0,5.0,6,6,474750.0,1931.0,2.96,3.0,3.0,4035730007,40.7000044,-73.9024491
QN,959 SENECA AVENUE,C4-3A,,C2,2.0,3.0,6,6,437850.0,1931.0,2.1,3.0,3.0,4035730008,40.7000484,-73.9025247
QN,957 SENECA AVENUE,C4-3A,,C2,2.0,3.0,6,6,437850.0,1931.0,2.1,3.0,3.0,4035730010,40.7000924,-73.9026004
QN,57-44 MYRTLE AVENUE,C4-3A,,K4,4.0,3.0,0,2,305550.0,1931.0,2.22,3.0,3.0,4035730021,40.7002895,-73.9019834
QN,57-48 MYRTLE AVENUE,C4-3A,,S2,4.0,3.0,2,3,70860.0,1931.0,2.66,3.0,3.0,4035730023,40.7002646,-73.9018356
QN,57-46 MYRTLE AVENUE,C4-3A,,S2,4.0,3.0,2,3,67920.0,1931.0,1.64,3.0,3.0,4035730022,40.700251,-73.9019005
QN,1659 DECATUR STREET,M1-4D,,B1,1.0,2.0,2,2,76620.0,1910.0,0.79,1.5,2.0,4035550073,40.6957896,-73.9006593
QN,1112 CYPRESS AVENUE,M1-4D,,B1,1.0,2.0,2,2,78600.0,1910.0,0.93,1.5,2.0,4035560054,40.6957669,-73.8997181
QN,1661 DECATUR STREET,M1-4D,,B1,1.0,2.0,2,2,73380.0,1910.0,0.94,1.5,2.0,4035550071,40.6958472,-73.9006015
QN,1110 CYPRESS AVENUE,M1-4D,,S4,4.0,2.0,4,5,407250.0,1927.0,1.1,1.5,2.0,4035560053,40.6958163,-73.8997794
QN,1114 CYPRESS AVENUE,M1-4D,,B1,1.0,2.0,2,2,74460.0,1910.0,0.9,1.5,2.0,4035560056,40.6957147,-73.8996569
QN,16-77 CODY AVENUE,M1-4D,,G2,7.0,1.0,0,1,115200.0,1961.0,0.91,1.5,2.0,4035560059,40.6955938,-73.8995597
QN,1620 SUMMERFIELD STREET,M1-4D,,C3,2.0,2.0,4,4,369900.0,1931.0,1.28,1.5,2.0,4035550018,40.6950715,-73.901818
QN,1626 SUMMERFIELD STREET,M1-4D,,C3,2.0,2.0,4,4,369900.0,1931.0,1.28,1.5,2.0,4035550023,40.6952361,-73.9016555
QN,1628 SUMMERFIELD STREET,M1-4D,,C3,2.0,2.0,4,4,346950.0,1931.0,1.28,1.5,2.0,4035550024,40.6952909,-73.9016013
QN,1644 DECATUR STREET,M1-4D,,B1,1.0,2.0,2,2,74160.0,1910.0,1.05,1.5,2.0,4035560033,40.6952214,-73.9005412
QN,1646 DECATUR STREET,M1-4D,,C3,2.0,2.0,4,4,261000.0,1910.0,0.52,1.5,2.0,4035560034,40.695279,-73.9004726
QN,16-51 CODY AVENUE,M1-4D,,E9,6.0,2.0,0,1,217350.0,1949.0,1.8,1.5,2.0,4035560082,40.6948097,-73.9005526
QN,CODY AVENUE,M1-4D,,V1,11.0,,0,0,86400.0,0.0,0.0,1.5,2.0,4035560084,40.6946945,-73.9006646
QN,16-25A CODY AVENUE,M1-4D,,E1,6.0,2.0,0,1,201150.0,2009.0,1.23,1.5,2.0,4035560086,40.6946259,-73.9007332
QN,11-25 WYCKOFF AVENUE,M1-4,,E7,6.0,3.0,0,1,7255350.0,1930.0,2.06,0.0,2.0,4035570004,40.6940054,-73.9005502
QN,16-30 CODY AVENUE,M1-4,,F1,6.0,2.0,0,1,2068650.0,1931.0,2.07,0.0,2.0,4035570028,40.6945897,-73.9000877
QN,11-05 WYCKOFF AVENUE,M1-4D,,F5,6.0,1.0,0,1,116550.0,1943.0,0.98,1.5,2.0,4035560007,40.694267,-73.9014405
QN,1636 SUMMERFIELD STREET,M1-4D,,B2,1.0,2.0,2,2,85200.0,1910.0,0.86,1.5,2.0,4035550027,40.6954006,-73.9014929
QN,15-40 COVERT STREET,M1-4,,E7,6.0,3.0,0,1,7783650.0,1930.0,5.27,0.0,2.0,4035400025,40.694645,-73.9037551
QN,10-50 WYCKOFF AVENUE,M1-4D,,S2,4.0,3.0,2,3,91560.0,1920.0,1.53,1.5,2.0,4035400041,40.6948999,-73.9033292
QN,11-05 IRVING AVENUE,M1-4,,C3,2.0,2.0,4,4,345600.0,1931.0,1.33,0.0,2.0,4035420009,40.6928685,-73.903105
QN,1516 DECATUR STREET,M1-4,,C3,2.0,2.0,4,4,345600.0,1931.0,1.2,0.0,2.0,4035420017,40.6931291,-73.9029099
